gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"515",13-100-23.70II-3I,Hinckley,"131","13","100",0.000657,152,41.21716,-81.71216,23.7,2008/08/26,"CW, JS",,none/natural channel,"8",2,"3",clay or hardpan,leaf pack/woody debris,0,1,0,1,0,0,0,20,13,65,0,0,"5","0",0,"5",0.78,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"0.5",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/24,0.5,no,15,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","0",Class I/Ephemeral
"516",13-100-24.71III-16I,Hinckley,"116","13","100",,200,41.21299,-81.7121,24.71,2008/08/21,"JS, NM",,none/natural channel,"4",5,"0",clay or hardpan,clay or hardpan,0,5,0,0,10,0,0,15,0,70,0,0,"4","0",0,"15",1.06,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"2",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,15,no,,,,,yes,no,,0,yes,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19","0",Class I/Ephemeral
"517",13-100-24.71III-15I,Hinckley,"118","13","100",,178,41.21267,-81.7121,24.71,2008/08/21,"JS, NM",,none/natural channel,"4",1,"0",clay or hardpan,clay or hardpan,0,1,0,0,5,0,0,15,0,79,0,0,"4","0",0,"5",0.86,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,10,no,,,,,yes,no,,0,no,yes,visual,"8",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","0",Class I/Ephemeral
"518",13-100-23.20II-4I,Hinckley,"69","13","100",0.00224,200,41.22695,-81.71192,23.2,2008/07/21,"CW, JS",,none/natural channel,"12",15,"6",sand,clay or hardpan,0,10,0,5,15,30,0,15,0,25,0,0,"6","5",1,"5",0.8,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/20,0.15,no,20,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","0",Class I/Ephemeral
"519",13-100-24.84IV-15I,Hinckley,"98","13","100",0.0109,100,41.20383,-81.71219,24.84,2008/08/13,"CW, JS, NM",,none/natural channel,"14",2,"9",sand,silt,0,1,0,1,0,45,30,23,0,0,0,0,"5","5",2,"15",1.07,wide,wide,mature forest or wetland,"residential, park, new field",interstitial,"0",severe,no,WWH,East Branch Rocky River,West Richfield,"15","1",Medina,Hinckley,yes,2008/08/11,0.25,no,20,no,,,,,no,no,,0,no,yes,visual,"10",yes,"20",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,rare,,,rare,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,"1","1","34","12",Class II/Warm Water
"520",13-100-24.84IV-7II,Hinckley,"103","13","100",0.0562,200,41.20589,-81.71214,24.84,2014/06/26,"CW, OL, JM, KK, BA",,none/natural channel,"23",13,"15",sand,gravel,0,1,0,12,28,39,3,1,1,15,0,0,"8","25",17,"20",2.1,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"15","2",Medina,Hinckley,yes,2014/06/25,0.54,no,16,no,17.9,8.32,7.23,0.312,yes,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"40",,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,rare,very abundant,abundant,,,rare,,,,,,,,,,,,,common,,,,,,,very abundant,,,,,,,,,,,,abundant,,,,,,,,,,,rare,,"1","1","2","4","68","23",Class III/Spring Water
"521",13-100-23.70II-2I,Hinckley,"129","13","100",0.000927,162,41.21669,-81.7118,23.7,2008/08/26,"CW, JS",,none/natural channel,"13",5,"6",clay or hardpan,sand,0,4,0,1,3,22,0,15,5,50,0,0,"7","0",0,"5",0.92,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"0.5",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/24,0.5,no,20,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","0",Class I/Ephemeral
"522",13-100-23.70II,Hinckley,"132","13","100",0.0177,200,41.21724,-81.7117,23.7,2008/08/26,"CW, JS",,none/natural channel,"12",10,"6",sand,clay or hardpan,0,5,0,5,20,35,0,10,0,25,0,0,"6","15",5.5,"15",1.43,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/08/24,0.5,no,15,no,,,,,yes,no,,0,no,yes,visual and dip net,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,common,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42","4",Class I/Ephemeral
"523",13-100-24.71III-17I,Hinckley,"117","13","100",,132,41.21305,-81.7116,24.71,2008/08/21,"JS, NM",,none/natural channel,"4",10,"0",clay or hardpan,clay or hardpan,0,5,0,5,10,0,0,10,0,70,0,0,"5","0",0,"15",1.21,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,20,no,,,,,yes,no,,0,no,yes,visual,"6",no,"0",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20","0",Class I/Ephemeral
"524",13-100-23.45II-1I,Hinckley,"55","13","100",,180,41.22386,-81.71144,23.45,2008/07/15,"CW, JS, NM",,none/natural channel,"13",8,"6",sand,clay or hardpan,0,6,0,2,18,30,14,5,0,25,0,0,"7","15",6,"15",0.77,moderate,moderate,"residential, park, new field","residential, park, new field",interstitial,>3.0,severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,20,no,19.1,4.6,7.59,0.372,yes,no,,0,no,no,visual and dip net,"15",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","2",Class I/Ephemeral
"525",13-100-24.71III-14I,Hinckley,"119","13","100",,200,41.21195,-81.7115,24.71,2008/08/21,"JS, NM",,none/natural channel,"4",2,"0",clay or hardpan,clay or hardpan,0,2,0,0,8,0,0,15,0,75,0,0,"4","0",0,"5",0.97,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"1",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,10,no,,,,,yes,no,,0,yes,yes,visual,"15",no,"0",,,,,,,,,,,,,,,,,,,,,,,,"3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","0",Class I/Ephemeral
"526",13-100-23.70II-1I,Hinckley,"130","13","100",0.00908,200,41.21661,-81.71141,23.7,2008/08/26,"CW, JS",,none/natural channel,"13",13,"6",clay or hardpan,sand,1,9,0,3,7,30,0,10,40,0,0,0,"7","0",0,"20",1.95,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"2.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/24,0.5,no,18,no,,,,,yes,no,,0,no,no,visual,"10",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","2",Class I/Ephemeral
"527",13-100-24.71III-3II,Hinckley,"114","13","100",0.025,200,41.21055,-81.71145,24.71,2008/08/20,"CW, NM",,none/natural channel,"17",4,"9",clay or hardpan,gravel,0,3,0,1,28,9,3,5,0,50,1,0,"8","15",9,"20",1.88,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",flat to moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/08/14,0.15,no,18,no,18.5,8.1,7.29,1.304,yes,no,visual and dip net,10,yes,no,visual and dip net,"15",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,,rare,,abundant,abundant,abundant,,rare,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","13",Class II/Warm Water
"528",13-100-23.45II-2I,Hinckley,"56","13","100",,200,41.22349,-81.71116,23.45,2008/07/15,"CW, JS, NM",,none/natural channel,"22",5,"15",sand,gravel,0,4.5,0,0.5,25,35,10,5,0,20,0,0,"7","15",7,"15",1.01,moderate,wide,"residential, park, new field",mature forest or wetland,interstitial,>3.0,severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,15,no,17.7,5.3,7.2,0.386,yes,no,,0,no,yes,visual and dip net,"15",yes,"20",,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,,,,common,,common,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","52","8",Class II/Warm Water
"529",13-100-23.80I,Hinckley,"61","13","100",0.000657,200,41.22103,-81.71114,23.8,2008/07/17,"CW, JS, NM",,none/natural channel,"13",7,"6",sand,clay or hardpan,0,4,0,3,20,35,2,10,0,26,0,0,"7","25",15,"15",1.09,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,15,no,20.5,8.3,7.69,0.616,yes,no,,0,no,yes,visual,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,abundant,rare,,,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","6",Class I/Ephemeral
"530",13-100-24.71III-4II,Hinckley,"120","13","100",0.0179,200,41.21203,-81.71099,24.71,2008/08/21,"JS, NM",,none/natural channel,"17",20,"9",clay or hardpan,gravel,0,8,0,12,22,3,3,10,2,50,0,0,"8","15",6,"20",2.36,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"3",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/08/14,0.15,no,20,no,15.3,3,7.44,0.501,no,no,,0,yes,no,visual,"8",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,common,,very abundant,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","5",Class I/Ephemeral
"531",13-100-24.71III,Hinckley,"111","13","100",0.17,200,41.21038,-81.71084,24.71,2008/08/20,"CW, NM",,none/natural channel,"13",25,"6",clay or hardpan,sand,0,15,0,10,10,25,2,8,0,3,0,0,"7","5",3.5,"20",2.03,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","2",Medina,Hinckley,yes,2008/08/14,0.15,no,25,no,,,,,no,yes,visual and dip net,5,no,yes,visual,"15",yes,"15",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","2",Class I/Ephemeral
"532",19-066-2.00II-2I,Parmadale,PD-02,"19","66",0.14,200,41.38268,-81.70875,2,2015/09/15,CW,,none/natural channel,"23",20.5,"15",gravel,sand,0,0.5,0,20,35,25,2.5,7,0,10,0,0,"7","25",11,"20",1.93,narrow,narrow,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate to severe,no,WWH,West Creek,Cleveland South,"39","1",Cuyahoga,Parma,yes,2015/09/12,1.76,no,22,no,,,,,yes,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"30",,,,,,,,,"2",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,rare,,,common,,,rare,,rare,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,"1","1","68","12",Class II/Warm Water
"533",13-100-23.87II-1I,Hinckley,"63","13","100",,176,41.22125,-81.71067,23.87,2008/07/17,"CW, JS, NM",,none/natural channel,"22",4,"15",sand,gravel,0,2,0,2,25,40,1,10,0,20,0,0,"7","25",13,"15",1.3,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"1.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,20,no,21.4,7.2,7.78,0.893,yes,no,,0,yes,yes,visual,"15",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,rare,rare,,,abundant,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","62","9",Class II/Warm Water
"534",13-100-23.20II-1I,Hinckley,"70","13","100",0.0127,200,41.22765,-81.71046,23.2,2008/07/22,"CW, JS",,none/natural channel,"22",20.5,"15",gravel,sand,0.5,10,0,10,24,36,0,9,0,10,0.5,0,"8","25",17,"20",1.74,wide,moderate,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","1",Medina,Hinckley,yes,2008/07/20,0.15,no,15,no,20.5,8.1,7.71,1.391,yes,no,visual,10,yes,yes,visual and dip net,"20",yes,"45",,,,,,,,,"79",,"5",,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,rare,common,rare,,,abundant,common,rare,,rare,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,common,,rare,,,abundant,,,"4","4","67","26",Class III/Spring Water
"535",13-100-23.20II-3I,Hinckley,"72","13","100",0.0222,200,41.22694,-81.71042,23.2,2008/07/22,"CW, JS",,none/natural channel,"13",10,"6",sand,clay or hardpan,0,5,0,5,10,40,10,8,0,22,0,0,"7","15",7,"20",1.88,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2.5",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/20,0.15,no,16,no,21,4.9,7.48,0.94,yes,no,,0,no,yes,visual and dip net,"10",yes,"30",,,,,,,,,"4",,"7",,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,abundant,common,common,,,common,,,rare,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,"1",,"1","2","48","16",Class II/Warm Water
"536",13-100-23.20II-2I,Hinckley,"71","13","100",0.0144,200,41.22745,-81.71023,23.2,2008/07/22,"CW, JS",,none/natural channel,"12",5,"6",clay or hardpan,sand,0,4,0,1,15,30,0,15,0,35,0,0,"6","5",3,"15",1.03,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/20,0.15,no,10,no,20.5,3.7,7.54,0.673,yes,no,visual,10,yes,yes,visual and dip net,"15",yes,"20",,,,,,,,,"1",,"1",,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,abundant,,,,rare,common,,rare,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","8",Class II/Warm Water
"537",19-066-2.00II-1I,Parmadale,PD-01,"19","66",0.0927,200,41.38288,-81.70834,2,2015/09/15,CW,,none/natural channel,"21",16,"15",gravel,sand,0,0,0,16,39,21,1,3,0,20,0,0,"6","15",10,"20",2.03,narrow,moderate,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate to severe,no,WWH,West Creek,Cleveland South,"39","1",Cuyahoga,Parma,yes,2015/09/12,1.76,no,20,no,,,,,yes,no,visual and dip net,5,no,yes,visual and dip net,"10",yes,"25",,,,,,,,,"2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,"1","1","56","8",Class II/Warm Water
"538",13-100-23.87II-2I,Hinckley,"62","13","100",,192,41.22101,-81.71026,23.87,2008/07/17,"CW, JS, NM",,none/natural channel,"12",1.5,"6",sand,clay or hardpan,0,1,0,0.5,15,35,0,20,0,28.5,0,0,"6","15",6,"5",1,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"1",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/07/13,0.25,no,15,no,20.9,7.6,7.98,1.023,yes,no,,0,no,no,visual,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","1",Class I/Ephemeral
"539",13-100-24.71III,Hinckley,"111","13","100",0.17,200,41.21193,-81.70974,24.71,2014/06/26,"CW, OL, JM, KK, BA",,none/natural channel,"16",5,"9",clay or hardpan,gravel,0,1,0,4,20,10,4,1,0,60,0,0,"7","20",34,"25",3.3,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"9","2",Medina,Hinckley,no,2014/06/25,0.54,yes,18,no,19.1,7.19,7.33,0.254,yes,yes,visual and dip net,5,no,no,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,,,,,,,rare,,rare,,rare,,,,,common,,,,,,,,,,,rare,,,,,,,rare,,,rare,,,,,,,,,abundant,,,,,,,,,,,,,"1","2","1","4","61","21",Class III/Spring Water
"540",13-100-24.71III-2I,Hinckley,"115","13","100",0.00277,195,41.21086,-81.70949,24.71,2008/08/20,"CW, NM",,none/natural channel,"13",4.5,"6",clay or hardpan,sand,0,4,0,0.5,2.5,25,0,15,3,50,0,0,"7","0",0,"15",1.1,wide,wide,mature forest or wetland,"residential, park, new field",ephemeral,"0.5",severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,20,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28","0",Class I/Ephemeral
"541",,Williams Property,WP-04,"13","100",,200,41.28385,-81.70841,,2016/07/06,"CW, OL, SW, ES",,none/natural channel,"13",1,"6",clay or hardpan,sand,0,0.5,0,0.5,15,20,2,2,0,60,0,0,"7","25",10.1,"15",1.2,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,>3.0,moderate,no,WWH,East Branch Rocky River,Broadview Heights,"60","1",Cuyahoga,North Royalton,yes,2016/07/05,0.05,no,20,no,,,,,yes,no,,0,no,no,visual and dip net,"5",yes,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","1",Class I/Ephemeral
"542",13-100-24.84IV-20I,Hinckley,"102","13","100",0.012,200,41.20722,-81.70926,24.84,2008/08/15,"CW, JS, NM",,none/natural channel,"11",0.5,"6",clay or hardpan,sand,0,0.5,0,0,2.5,30,0,17,0,50,0,0,"5","15",5.5,"5",0.9,wide,wide,"residential, park, new field",mature forest or wetland,interstitial,"0.5",moderate,no,WWH,East Branch Rocky River,West Richfield,"15","0",Medina,Hinckley,yes,2008/08/14,0.15,no,20,no,,,,,yes,no,,0,no,yes,visual and dip net,"10",yes,"30",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,common,common,,,abundant,common,common,common,,,rare,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"1","31","14",Class II/Warm Water
"543",13-100-24.71III-18I,Hinckley,"121","13","100",,200,41.21271,-81.70903,24.71,2008/08/21,"JS, NM",,none/natural channel,"4",1,"0",clay or hardpan,clay or hardpan,0,0,0,1,4,0,0,10,0,85,0,0,"4","0",0,"5",0.9,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,"3",moderate to severe,no,WWH,East Branch Rocky River,West Richfield,"9","0",Medina,Hinckley,yes,2008/08/14,0.15,no,15,no,,,,,yes,no,,0,yes,yes,visual,"16",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","0",Class I/Ephemeral
